Time	Start	Mid	End	Avg	Name	Word	Vowel	f1	f2	f3
0.005	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav		<p:>	--undefined--	--undefined--	--undefined--
2.2174895833333297	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	685.8270417982146	1114.9312323810454	1994.6070561744446
2.30998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	467.52081970013074	1327.1931424441734	2344.07038916001
2.12498958333333:2.30998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	628.9952995749787	1183.418408975275	2146.979392843434
2.31498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	n	467.7848559735729	1341.5608714311797	2325.6146704321145
2.32748958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	n	464.3769569960699	1340.7068638300493	2290.192093244733
2.33998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	n	472.46053911051865	1440.841375758521	2242.7768496587737
2.31498958333333:2.33998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	n	465.6476515682816	1341.6225434193707	2302.103629197623
2.34498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	d	488.8365472026186	1550.1603964973979	2180.8867962961726
2.36248958333333	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	d	596.6858540748464	1776.3819522209049	1830.7418320552774
2.37998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	d	654.0024240861399	1690.321367030045	1771.944307037934
2.34498958333333:2.37998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	d	566.9337484599598	1706.260240563523	1939.5301814175077
2.38498958333333	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	666.7335739878274	1685.3828366576556	1757.9203607896638
2.4224895833333298	midpoint	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	658.2735871391708	1655.64324472675	3035.5305448059694
2.45998958333333	end	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	602.2780593571424	1584.8321953270547	2957.6684243666828
2.38498958333333:2.45998958333333	avg	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	t a j l a n d a	a	662.8332735745781	1669.933846071197	2565.373049938093
2.4649895833333297	start	/Users/niko/github/test-corpus/praat/0000/kpv_izva20140330-1-b-097.wav	p o t o m u	p	592.8511767493549	1533.1986644303481	2880.3965768117955
